TIME_PERIOD;CUST_BREAKDOWN_CH;CODE;FLOW;SPDEPS;REC_TYPE;UNIT_FIN;OBS_VALUE
2010;SCH004_CH;2120001;REC;;SCO_P_PREM;M_CHF;18206.9379
2011;SCH004_CH;2120001;REC;;SCO_P_PREM;M_CHF;19687.4194
2012;SCH004_CH;2120001;REC;;SCO_P_PREM;M_CHF;20392.9112
2013;SCH004_CH;2120001;REC;;SCO_P_PREM;M_CHF;20955.2507
2014;SCH004_CH;2120001;REC;;SCO_P_PREM;M_CHF;21834.1986
2015;SCH004_CH;2120001;REC;;SCO_P_PREM;M_CHF;23024.1708
2016;SCH004_CH;2120001;REC;;SCO_P_PREM;M_CHF;24466.0629
2017;SCH004_CH;2120001;REC;;SCO_P_PREM;M_CHF;25902.7325
2018;SCH004_CH;2120001;REC;;SCO_P_PREM;M_CHF;26986.2182
2019;SCH004_CH;2120001;REC;;SCO_P_PREM;M_CHF;27337.7499
2020;SCH004_CH;2120001;REC;;SCO_P_PREM;M_CHF;27337.7741
2021;SCH004_CH;2120001;REC;;SCO_P_PREM;M_CHF;27655.672
2022;SCH004_CH;2120001;REC;;SCO_P_PREM;M_CHF;28046.8774
2023;SCH004_CH;2120001;REC;;SCO_P_PREM;M_CHF;29961.89944
